home_team,home_score,away_team,away_score
Dark or Light,15,Phoenix,13
Geno's,15,Stonefish,11
Dark or Light,15,Stonefish,6
Geno's,14,Phoenix,13
Dark or Light,15,Geno's,10
Phoenix,15,Stonefish,9
Garuda,15,Medicine Men,13
Garden State Ultimate,15,Red Tide,11
Garuda,15,Red Tide,5
Garden State Ultimate,14,Medicine Men,16
Garuda,15,Garden State Ultimate,13
Medicine Men,15,Red Tide,12
Quake,15,Ryanside,11
Big Wrench,15,Red Circus,12
Quake,12,Red Circus,15
Big Wrench,15,Ryanside,9
Quake,8,Big Wrench,15
Ryanside,14,Red Circus,16
Night's Watch,15,Youngbloods,5
Dire Wolf,15,Bruises,6
Night's Watch,13,Bruises,15
Dire Wolf,15,Youngbloods,11
Night's Watch,10,Dire Wolf,15
Youngbloods,15,Bruises,13
Providence Pack Dogs,15,Magma,12
Selección Colombia U17 Boys,9,Red Tide Black,15
Providence Pack Dogs,4,Red Tide Black,15
Selección Colombia U17 Boys,6,Magma,15
Providence Pack Dogs,15,Selección Colombia U17 Boys,9
Magma,10,Red Tide Black,15
The Watchmen,15,Juggalos Against Illuminati Leadership,9
NSOM,15,Westchester Magma Bears,10
The Watchmen,9,Westchester Magma Bears,12
NSOM,15,Juggalos Against Illuminati Leadership,6
The Watchmen,8,NSOM,15
Juggalos Against Illuminati Leadership,13,Westchester Magma Bears,12
Lone Wolves,9,Demon,15
Flashback,15,The Skyentists,1
Lone Wolves,15,The Skyentists,4
Flashback,6,Demon,15
Lone Wolves,15,Flashback,12
Demon,15,The Skyentists,1
Pat's,15,Magma 2,12
No Country,13,Birds of Pray,15
Pat's,15,Birds of Pray,9
No Country,11,Magma 2,15
Pat's,15,No Country,8
Magma 2,15,Birds of Pray,10
Dark or Light,15,Big Wrench,5
Garuda,16,Dire Wolf,14
Magma,15,The Skyentists,9
Juggalos Against Illuminati Leadership,L,No Country,W
Phoenix,15,Geno's,12
Dark or Light,13,Medicine Men,15
Dire Wolf,9,Phoenix,15
Big Wrench,15,Night's Watch,13
Garuda,9,Geno's,15
Medicine Men,9,Phoenix,15
Big Wrench,13,Geno's,15
Medicine Men,15,Bruises,9
Red Circus,9,Phoenix,15
Night's Watch,14,Garden State Ultimate,10
Geno's,15,Quake,5
Medicine Men,F,Big Wrench,W
Dark or Light,6,Dire Wolf,15
Night's Watch,12,Garuda,14
Dire Wolf,W,Garuda,F
Dark or Light,F,Night's Watch,W
Red Tide Black,W,Quake,L
Red Circus,12,Red Tide Black,15
Bruises,16,Pat's,14
Quake,15,Demon,6
Garden State Ultimate,15,NSOM,13
Red Tide Black,15,Bruises,11
Quake,17,Garden State Ultimate,15
Youngbloods,10,Red Tide Black,15
Ryanside,14,Pat's,16
Red Tide,13,Demon,14
Stonefish,6,NSOM,15
Bruises,8,Garden State Ultimate,15
Red Circus,17,Pat's,15
Demon,L,NSOM,15
Red Circus,F,NSOM,W
Pat's,8,Demon,0
Red Tide,0,Providence Pack Dogs,0
The Watchmen,13,Birds of Pray,15
Lone Wolves,15,Selección Colombia U17 Boys,13
Magma 2,15,Westchester Magma Bears,11
Providence Pack Dogs,15,Flashback,10
Red Tide,15,Birds of Pray,13
Ryanside,15,Lone Wolves,10
Youngbloods,15,Magma 2,2
Stonefish,12,Providence Pack Dogs,15
Red Tide,W,Ryanside,L
Youngbloods,7,Providence Pack Dogs,15
Ryanside,0,Youngbloods,0
Birds of Pray,0,Lone Wolves,0
Magma 2,0,Stonefish,0
undefined,0,undefined,0
undefined,0,undefined,0
Flashback,W,No Country,L
Westchester Magma Bears,15,The Skyentists,5
Magma 2,15,Juggalos Against Illuminati Leadership,11
The Watchmen,15,Selección Colombia U17 Boys,8
Flashback,L,Westchester Magma Bears,W
Magma 2,W,The Watchmen,L
Magma 2,W,Westchester Magma Bears,L
The Watchmen,L,Flashback,W
No Country,W,The Skyentists,L
Juggalos Against Illuminati Leadership,L,Selección Colombia U17 Boys,W
Selección Colombia U17 Boys,W,No Country,F
Juggalos Against Illuminati Leadership,15,The Skyentists,11
Voodoo,13,South Portland Knife Fight,5
Ghetto Puss,13,Dim Sun,10
Voodoo,11,Ghetto Puss,13
Mental Toss Flycoons,11,Dim Sun,13
Dim Sun,13,South Portland Knife Fight,4
Mental Toss Flycoons,11,Ghetto Puss,13
Voodoo,13,Dim Sun,8
Mental Toss Flycoons,13,South Portland Knife Fight,9
Voodoo,13,Mental Toss Flycoons,5
Ghetto Puss,13,South Portland Knife Fight,3
Warchild,11,Ghost Train,4
Dark Star,10,Rip City Ultimate Club Team,11
PTC,7,Flaming Chicken,11
Warchild,11,Dark Star,9
Ghost Train,11,PTC,6
Rip City Ultimate Club Team,5,Flaming Chicken,11
Warchild,11,PTC,1
Dark Star,8,Flaming Chicken,11
Ghost Train,11,Rip City Ultimate Club Team,7
Warchild,11,Flaming Chicken,8
Dark Star,11,Ghost Train,7
PTC,4,Rip City Ultimate Club Team,11
Warchild,11,Rip City Ultimate Club Team,3
