home_team,home_score,away_team,away_score
Dark or Light,15,Phoenix,13
Geno's,15,Stonefish,11
Dark or Light,15,Stonefish,6
Geno's,14,Phoenix,13
Dark or Light,15,Geno's,10
Phoenix,15,Stonefish,9
Garuda,15,Medicine,13
Garden State Ultimate,15,Red,11
Garuda,15,Red,5
Garden State Ultimate,14,Medicine,16
Garuda,15,Garden,13
Medicine Men,15,Red,12
Quake,15,Ryanside,11
Big Wrench,15,Red,12
Quake,12,Red,15
Big Wrench,15,Ryanside,9
Quake,8,Big,15
Ryanside,14,Red,16
Night's Watch,15,Youngbloods,5
Dire Wolf,15,Bruises,6
Night's Watch,13,Bruises,15
Dire Wolf,15,Youngbloods,11
Night's Watch,10,Dire,15
Youngbloods,15,Bruises,13
Voodoo,13,South,5
Ghetto Puss,13,Dim,10
Voodoo,11,Ghetto,13
Mental Toss Flycoons,11,Dim,13
Dim Sun,13,South,4
Mental Toss Flycoons,11,Ghetto,13
Voodoo,13,Dim,8
Mental Toss Flycoons,13,South,9
Voodoo,13,Mental,5
Ghetto Puss,13,South,3
Warchild,11,Ghost,4
Dark Star,10,Rip,11
PTC,7,Flaming,11
Warchild,11,Dark,9
Ghost Train,11,PTC,6
Rip City Ultimate Club Team,5,Flaming,11
Warchild,11,PTC,1
Dark Star,8,Flaming,11
Ghost Train,11,Rip,7
Warchild,11,Flaming,8
Dark Star,11,Ghost,7
PTC,4,Rip,11
Warchild,11,Rip,3
Dark Star,11,PTC,5
Ghost Train,5,Flaming,11
Prairie Fire,13,Zero,3
H.I.P,13,Sick,4
Hypnotoad,12,Drought,11
Prairie Fire,13,Sick,4
Zero Gravity,11,Drought,7
H.I.P,13,Hypnotoad,5
Prairie Fire,13,Drought,1
H.I.P,13,Zero,3
Hypnotoad,10,Sick,13
Prairie Fire,13,Hypnotoad,1
H.I.P,13,Drought,1
Zero Gravity,6,Sick,13
Prairie Fire,13,H.I.P,7
Zero Gravity,11,Hypnotoad,12
Sick Katz,13,Drought,7
PLEX,13,Crude,3
Riverside Ultimate,11,Texas,8
Smokestack,13,Huck,6
PLEX,13,Texas,5
Riverside Ultimate,9,Smokestack,10
Crude Ultimate,13,Huck,6
PLEX,13,Huck,2
Riverside Ultimate,11,Crude,8
Smokestack,6,Texas,8
PLEX,13,Smokestack,5
Riverside Ultimate,12,Huck,7
Crude Ultimate,10,Texas,9
PLEX,13,Riverside,5
Crude Ultimate,7,Smokestack,11
Texas Two Step,11,Huck,8
Omen,13,Riders,0
ATLiens,9,Birmingham,10
Omen,9,ATLiens,4
Bullet,13,Birmingham,2
Birmingham,13,Riders,2
Bullet,11,ATLiens,4
Omen,13,Birmingham,6
Bullet,13,Riders,0
Omen,6,Bullet,8
ATLiens,13,Riders,1
Freaks Uv Nature,13,Pilot,8
Cockfight,13,Jello,7
Freaks Uv Nature,13,Cockfight,7
Strong Hand,12,Jello,10
Jello Yackets,7,Pilot,9
Strong Hand,12,Cockfight,10
Freaks Uv Nature,13,Jello,6
Strong Hand,12,Pilot,8
Freaks Uv Nature,12,Strong,5
Cockfight,10,Pilot,9
Six Pack,11,Voodoo,7
Ironmen,13,Dune,7
Six Pack,13,Dune,5
Ironmen,8,Voodoo,10
Six Pack,13,Ironmen,9
Voodoo,11,Dune,7
Shrimp Boat,10,ShawShack,12
Vicious Cycle,13,Jurassic,2
Shrimp Boat,13,Jurassic,2
Vicious Cycle,8,ShawShack,9
Shrimp Boat,4,Vicious,13
ShawShack Redemption,13,Jurassic,7
Phoenix,15,Youngbloods,8
Night's Watch,14,Stonefish,10
Phoenix,15,Stonefish,8
Night's Watch,14,Youngbloods,11
Phoenix,13,Night's,10
Youngbloods,14,Stonefish,12
Big Wrench,15,Providence,11
John Doe,15,Providence,14
Big Wrench,15,John,10
Right Coast Ultimate,4,The,13
Vicious Cycle,13,Central,5
UpRoar,11,Cartel,6
Omen,13,Cartel,7
Vicious Cycle,13,The,5
UpRoar,13,Central,4
Omen,10,Vicious,7
Right Coast Ultimate,6,Central,13
UpRoar,13,The,5
Omen,13,Right,6
Cartel,12,The,4
Vicious Cycle,11,UpRoar,12
Cartel,0,Right,0
Omen,0,Central,0
The Cat's Meow,8,Central,13
Cartel,13,Central,2
Vicious Cycle,13,Right,5
Omen,9,UpRoar,10
Vicious Cycle,7,Cartel,4
Omen,13,The,2
UpRoar,13,Right,6
Doublewide,8,PoNY,13
GOAT,12,Madcow,11
Ring of Fire,13,Boost,3
Doublewide,13,GOAT,10
PoNY,13,Ring,10
Madcow,11,Boost,9
Doublewide,10,Ring,12
GOAT,7,Boost,13
PoNY,8,Madcow,13
Doublewide,13,Boost,7
GOAT,9,PoNY,11
Ring of Fire,13,Madcow,8
Doublewide,13,Madcow,8
GOAT,12,Ring,10
PoNY,13,Boost,5
Chicago Machine,13,Sub,9
Chain Lightning,10,Truck,11
Florida United,13,HIGH,7
Chicago Machine,7,Chain,13
Sub Zero,8,Florida,11
Truck Stop,9,HIGH,11
