home_team,home_score,away_team,away_score,tournament
Dark or Light,15,Phoenix,13,Boston Invitational
Geno's,15,Stonefish,11,Boston Invitational
Dark or Light,15,Stonefish,6,Boston Invitational
Geno's,14,Phoenix,13,Boston Invitational
Dark or Light,15,Geno's,10,Boston Invitational
Phoenix,15,Stonefish,9,Boston Invitational
Garuda,15,Medicine Men,13,Boston Invitational
Garden State Ultimate,15,Red Tide,11,Boston Invitational
Garuda,15,Red Tide,5,Boston Invitational
Garden State Ultimate,14,Medicine Men,16,Boston Invitational
Garuda,15,Garden State Ultimate,13,Boston Invitational
Medicine Men,15,Red Tide,12,Boston Invitational
Quake,15,Ryanside,11,Boston Invitational
Big Wrench,15,Red Circus,12,Boston Invitational
Quake,12,Red Circus,15,Boston Invitational
Big Wrench,15,Ryanside,9,Boston Invitational
Quake,8,Big Wrench,15,Boston Invitational
Ryanside,14,Red Circus,16,Boston Invitational
Night's Watch,15,Youngbloods,5,Boston Invitational
Dire Wolf,15,Bruises,6,Boston Invitational
Night's Watch,13,Bruises,15,Boston Invitational
Dire Wolf,15,Youngbloods,11,Boston Invitational
Night's Watch,10,Dire Wolf,15,Boston Invitational
Youngbloods,15,Bruises,13,Boston Invitational
Providence Pack Dogs,15,Magma,12,Boston Invitational
Selección Colombia U17 Boys,9,Red Tide Black,15,Boston Invitational
Providence Pack Dogs,4,Red Tide Black,15,Boston Invitational
Selección Colombia U17 Boys,6,Magma,15,Boston Invitational
Providence Pack Dogs,15,Selección Colombia U17 Boys,9,Boston Invitational
Magma,10,Red Tide Black,15,Boston Invitational
The Watchmen,15,Juggalos Against Illuminati Leadership,9,Boston Invitational
NSOM,15,Westchester Magma Bears,10,Boston Invitational
The Watchmen,9,Westchester Magma Bears,12,Boston Invitational
NSOM,15,Juggalos Against Illuminati Leadership,6,Boston Invitational
The Watchmen,8,NSOM,15,Boston Invitational
Juggalos Against Illuminati Leadership,13,Westchester Magma Bears,12,Boston Invitational
Lone Wolves,9,Demon,15,Boston Invitational
Flashback,15,The Skyentists,1,Boston Invitational
Lone Wolves,15,The Skyentists,4,Boston Invitational
Flashback,6,Demon,15,Boston Invitational
Lone Wolves,15,Flashback,12,Boston Invitational
Demon,15,The Skyentists,1,Boston Invitational
Pat's,15,Magma 2,12,Boston Invitational
No Country,13,Birds of Pray,15,Boston Invitational
Pat's,15,Birds of Pray,9,Boston Invitational
No Country,11,Magma 2,15,Boston Invitational
Pat's,15,No Country,8,Boston Invitational
Magma 2,15,Birds of Pray,10,Boston Invitational
Dark or Light,15,Big Wrench,5,Boston Invitational
Garuda,16,Dire Wolf,14,Boston Invitational
Magma,15,The Skyentists,9,Boston Invitational
Juggalos Against Illuminati Leadership,L,No Country,W,Boston Invitational
Phoenix,15,Geno's,12,Boston Invitational
Dark or Light,13,Medicine Men,15,Boston Invitational
Dire Wolf,9,Phoenix,15,Boston Invitational
Big Wrench,15,Night's Watch,13,Boston Invitational
Garuda,9,Geno's,15,Boston Invitational
Medicine Men,9,Phoenix,15,Boston Invitational
Big Wrench,13,Geno's,15,Boston Invitational
Medicine Men,15,Bruises,9,Boston Invitational
Red Circus,9,Phoenix,15,Boston Invitational
Night's Watch,14,Garden State Ultimate,10,Boston Invitational
Geno's,15,Quake,5,Boston Invitational
Medicine Men,F,Big Wrench,W,Boston Invitational
Dark or Light,6,Dire Wolf,15,Boston Invitational
Night's Watch,12,Garuda,14,Boston Invitational
Dire Wolf,W,Garuda,F,Boston Invitational
Dark or Light,F,Night's Watch,W,Boston Invitational
Red Tide Black,W,Quake,L,Boston Invitational
Red Circus,12,Red Tide Black,15,Boston Invitational
Bruises,16,Pat's,14,Boston Invitational
Quake,15,Demon,6,Boston Invitational
Garden State Ultimate,15,NSOM,13,Boston Invitational
Red Tide Black,15,Bruises,11,Boston Invitational
Quake,17,Garden State Ultimate,15,Boston Invitational
Youngbloods,10,Red Tide Black,15,Boston Invitational
Ryanside,14,Pat's,16,Boston Invitational
Red Tide,13,Demon,14,Boston Invitational
Stonefish,6,NSOM,15,Boston Invitational
Bruises,8,Garden State Ultimate,15,Boston Invitational
Red Circus,17,Pat's,15,Boston Invitational
Demon,L,NSOM,15,Boston Invitational
